date,asset,strategy_value,fixed_value,cash,cash_pct,in_risk,price
2025-12-29,SPX,812.5853210780384,790.4094881318885,0.0,0.0,False,6905.740234375
2025-12-30,SPX,811.4674741437134,789.3221477625135,0.0,0.0,False,6896.240234375
2025-12-31,SPX,805.4969672549735,783.5145787954098,0.0,0.0,False,6845.5
2026-01-02,SPX,808.0231477708286,785.9991091321547,0.0,0.0,False,6858.47021484375
2026-01-05,SPX,813.1574293614808,790.9934471872208,0.0,0.0,False,6902.0498046875
2026-01-06,SPX,818.1963323134925,795.8950063098907,0.0,0.0,False,6944.81982421875
2026-01-07,SPX,815.3817995787977,793.1571884290584,0.0,0.0,False,6920.93017578125
2026-01-08,SPX,815.4442156360503,793.2179032310186,0.0,0.0,False,6921.4599609375
2026-01-09,SPX,820.7246140796258,798.3543754768486,0.0,0.0,False,6966.27978515625
2026-01-12,SPX,822.0194164912783,799.613885857051,0.0,0.0,False,6977.27001953125
2026-01-13,SPX,820.4254196890533,798.0633361358396,0.0,0.0,False,6963.740234375
2026-01-14,SPX,816.0497952072012,793.8069767058893,0.0,0.0,False,6926.60009765625
2026-01-15,SPX,818.1551434683377,795.8549401364313,0.0,0.0,False,6944.47021484375
2026-01-16,SPX,817.6296405346943,795.3437606747667,0.0,0.0,False,6940.009765625
2026-01-20,SPX,800.764591759744,778.9383973517585,0.0,0.0,False,6796.85986328125
2026-01-21,SPX,810.0436447098934,787.9645340070366,0.0,0.0,False,6875.6201171875
2026-01-22,SPX,814.4887609863641,792.2884911151141,0.0,0.0,False,6913.35009765625
2026-01-23,SPX,814.7549927955488,792.547466325687,0.0,0.0,False,6915.60986328125
2026-01-26,SPX,818.8337239396303,796.5150247483411,0.0,0.0,False,6950.22998046875
2026-01-27,SPX,822.1761181870905,799.7663163828937,0.0,0.0,False,6978.60009765625
2026-01-28,SPX,822.1089274452738,799.7009570384795,0.0,0.0,False,6978.02978515625
2026-01-29,SPX,821.0462437350171,798.6672385715577,0.0,0.0,False,6969.009765625
2026-01-30,SPX,817.5141852103569,795.2314522807261,0.0,0.0,False,6939.02978515625
2026-02-02,SPX,822.9216217471958,800.5187566742562,0.0,0.0,False,6976.43994140625
2026-02-03,SPX,816.0058024106668,793.7912106354152,0.0,0.0,False,6917.81005859375
2026-02-04,SPX,811.8667011830878,789.764790523357,0.0,0.0,False,6882.72021484375
2026-02-05,SPX,801.9205095880171,780.089369779854,0.0,0.0,False,6798.39990234375
2026-02-06,SPX,817.7149729122866,795.4538514127909,0.0,0.0,False,6932.2998046875
2026-02-09,SPX,821.5509447599153,799.1853944090502,0.0,0.0,False,6964.81982421875
2026-02-10,SPX,818.836776243712,796.5451152517444,0.0,0.0,False,6941.81005859375
2026-02-11,SPX,818.7966892118964,796.5061195320795,0.0,0.0,False,6941.47021484375
2026-02-12,SPX,805.9735043320267,784.0320275342988,0.0,0.0,False,6832.759765625
2026-02-13,SPX,806.3757569616245,784.4233294109355,0.0,0.0,False,6836.169921875
2026-02-17,SPX,807.2073900828675,785.2323225089818,0.0,0.0,False,6843.22021484375
2026-02-18,SPX,811.7003630395772,789.6029806980812,0.0,0.0,False,6881.31005859375
2026-02-19,SPX,809.409642595081,787.3746218439014,0.0,0.0,False,6861.89013671875
2026-02-20,SPX,815.0267227356193,792.8387850052683,0.0,0.0,False,6909.509765625
2026-02-23,SPX,806.5621386210429,784.6046370960437,0.0,0.0,False,6837.75
2026-02-24,SPX,812.7336408424098,790.6081289894415,0.0,0.0,False,6890.06982421875
2026-02-25,SPX,819.3463307989886,797.0407979124838,0.0,0.0,False,6946.1298828125
2026-02-26,SPX,814.950062046903,792.7642112942426,0.0,0.0,False,6908.85986328125
2026-02-27,SPX,811.4137062043097,789.3241276854781,0.0,0.0,False,6878.8798828125
2026-03-02,SPX,812.7369366964779,790.638558689442,0.0,0.0,False,6881.6201171875
